date,value
2022-01-01,0.0
2022-01-02,5.78
2022-01-03,0.0
2022-01-04,0.28
2022-01-05,2.8600000000000003
2022-01-06,0.0
2022-01-07,2.34
2022-01-08,9.46
2022-01-09,4.47
2022-01-10,0.0
2022-01-11,0.8200000000000001
2022-01-12,0.0
2022-01-13,0.0
2022-01-14,0.0
2022-01-15,0.08
2022-01-16,0.12000000000000001
2022-01-17,0.0
2022-01-18,0.0
2022-01-19,1.48
2022-01-20,2.78
2022-01-21,0.13
2022-01-22,0.0
2022-01-23,0.16
2022-01-24,0.0
2022-01-25,0.0
2022-01-26,0.0
2022-01-27,2.1
2022-01-28,0.0
2022-01-29,0.0
2022-01-30,0.0
2022-01-31,6.57
2022-02-01,1.8599999999999999
2022-02-02,0.77
2022-02-03,0.39
2022-02-04,5.32
2022-02-05,0.54
2022-02-06,8.81
2022-02-07,0.17
2022-02-08,0.08
2022-02-09,0.34
2022-02-10,3.44
2022-02-11,1.35
2022-02-12,0.0
2022-02-13,0.0
2022-02-14,1.32
2022-02-15,11.01
2022-02-16,2.95
2022-02-17,0.0
2022-02-18,0.3
2022-02-19,12.540000000000001
2022-02-20,18.12
2022-02-21,5.34
2022-02-22,2.1
2022-02-23,0.0
2022-02-24,4.9
2022-02-25,0.2
2022-02-26,0.0
2022-02-27,0.0
2022-02-28,0.0
2022-03-01,0.26
2022-03-02,0.0
2022-03-03,0.0
2022-03-04,0.0
2022-03-05,0.0
2022-03-06,0.0
2022-03-07,0.0
2022-03-08,0.0
2022-03-09,0.0
2022-03-10,0.0
2022-03-11,0.0
2022-03-12,0.1
2022-03-13,0.04
2022-03-14,0.28
2022-03-15,0.0
2022-03-16,0.0
2022-03-17,0.6
2022-03-18,0.0
2022-03-19,0.0
2022-03-20,0.15
2022-03-21,0.0
2022-03-22,0.0
2022-03-23,0.0
2022-03-24,0.0
2022-03-25,0.0
2022-03-26,0.0
2022-03-27,0.0
2022-03-28,0.0
2022-03-29,0.0
2022-03-30,2.11
2022-03-31,13.290000000000001
2022-04-01,3.2
2022-04-02,0.0
2022-04-03,2.39
2022-04-04,13.69
2022-04-05,1.2
2022-04-06,1.41
2022-04-07,19.35
2022-04-08,0.9600000000000001
2022-04-09,0.67
2022-04-10,0.19
2022-04-11,0.0
2022-04-12,0.0
2022-04-13,0.0
2022-04-14,0.0
2022-04-15,0.0
2022-04-16,0.0
2022-04-17,0.0
2022-04-18,0.0
2022-04-19,0.0
2022-04-20,0.0
2022-04-21,0.0
2022-04-22,0.0
2022-04-23,0.0
2022-04-24,0.0
2022-04-25,0.17
