;MPN-A-4149;MPN-A-4149 quality
;P.meting.1m;P.meting.1m quality
20-4-2022 10:00;1;original reliable
20-4-2022 10:01;1;original reliable
20-4-2022 10:02;1;original reliable
20-4-2022 10:03;1;original reliable
20-4-2022 10:04;1;original reliable
20-4-2022 10:05;1;original reliable
20-4-2022 10:06;1;original reliable
20-4-2022 10:07;1;original reliable
20-4-2022 10:08;1;original reliable
20-4-2022 10:09;1;original reliable
20-4-2022 10:10;1;original reliable
20-4-2022 10:11;1;original reliable
20-4-2022 10:12;1;original reliable
20-4-2022 10:13;1;original reliable
20-4-2022 10:14;1;original reliable
20-4-2022 10:15;1;original reliable
20-4-2022 10:16;1;original reliable
20-4-2022 10:17;1;original reliable
20-4-2022 10:18;1;original reliable
20-4-2022 10:19;1;original reliable
20-4-2022 10:20;1;original reliable
20-4-2022 10:21;1;original reliable
20-4-2022 10:22;1;original reliable
20-4-2022 10:23;1;original reliable
20-4-2022 10:24;1;original reliable
20-4-2022 10:25;1;original reliable
20-4-2022 10:26;1;original reliable
20-4-2022 10:27;1;original reliable
20-4-2022 10:28;1;original reliable
20-4-2022 10:29;1;original reliable
20-4-2022 10:30;1;original reliable
20-4-2022 10:31;1;original reliable
20-4-2022 10:32;1;original reliable
20-4-2022 10:33;1;original reliable
20-4-2022 10:34;1;original reliable
20-4-2022 10:35;1;original reliable
20-4-2022 10:36;1;original reliable
20-4-2022 10:37;1;original reliable
20-4-2022 10:38;1;original reliable
20-4-2022 10:39;1;original reliable
20-4-2022 10:40;1;original reliable
20-4-2022 10:41;1;original reliable
20-4-2022 10:42;1;original reliable
20-4-2022 10:43;1;original reliable
20-4-2022 10:44;1;original reliable
20-4-2022 10:45;1;original reliable
20-4-2022 10:46;1;original reliable
20-4-2022 10:47;1;original reliable
20-4-2022 10:48;1;original reliable
20-4-2022 10:49;1;original reliable
20-4-2022 10:50;1;original reliable
20-4-2022 10:51;1;original reliable
20-4-2022 10:52;1;original reliable
20-4-2022 10:53;1;original reliable
20-4-2022 10:54;1;original reliable
20-4-2022 10:55;1;original reliable
20-4-2022 10:56;1;original reliable
20-4-2022 10:57;1;original reliable
20-4-2022 10:58;1;original reliable
20-4-2022 10:59;1;original reliable
20-4-2022 11:00;1;original reliable
20-4-2022 11:01;1;original reliable
20-4-2022 11:02;1;original reliable
20-4-2022 11:03;1;original reliable
20-4-2022 11:04;1;original reliable
20-4-2022 11:05;1;original reliable
20-4-2022 11:06;1;original reliable
20-4-2022 11:07;1;original reliable
20-4-2022 11:08;1;original reliable
20-4-2022 11:09;1;original reliable
20-4-2022 11:10;1;original reliable
20-4-2022 11:11;1;original reliable
20-4-2022 11:12;1;original reliable
20-4-2022 11:13;1;original reliable
20-4-2022 11:14;1;original reliable
20-4-2022 11:15;1;original reliable
20-4-2022 11:16;1;original reliable
20-4-2022 11:17;1;original reliable
20-4-2022 11:18;1;original reliable
20-4-2022 11:19;1;original reliable
20-4-2022 11:20;1;original reliable
20-4-2022 11:21;1;original reliable
20-4-2022 11:22;1;original reliable
20-4-2022 11:23;1;original reliable
20-4-2022 11:24;1;original reliable
20-4-2022 11:25;1;original reliable
20-4-2022 11:26;1;original reliable
20-4-2022 11:27;1;original reliable
20-4-2022 11:28;1;original reliable
20-4-2022 11:29;1;original reliable
20-4-2022 11:30;1;original reliable
20-4-2022 11:31;1;original reliable
20-4-2022 11:32;1;original reliable
20-4-2022 11:33;1;original reliable
20-4-2022 11:34;1;original reliable
20-4-2022 11:35;1;original reliable
20-4-2022 11:36;1;original reliable
20-4-2022 11:37;1;original reliable
20-4-2022 11:38;1;original reliable
20-4-2022 11:39;1;original reliable
20-4-2022 11:40;1;original reliable
20-4-2022 11:41;1;original reliable
20-4-2022 11:42;1;original reliable
20-4-2022 11:43;1;original reliable
20-4-2022 11:44;1;original reliable
20-4-2022 11:45;1;original reliable
20-4-2022 11:46;1;original reliable
20-4-2022 11:47;1;original reliable
20-4-2022 11:48;1;original reliable
20-4-2022 11:49;1;original reliable
20-4-2022 11:50;1;original reliable
20-4-2022 11:51;1;original reliable
20-4-2022 11:52;1;original reliable
20-4-2022 11:53;1;original reliable
20-4-2022 11:54;1;original reliable
20-4-2022 11:55;1;original reliable
20-4-2022 11:56;1;original reliable
20-4-2022 11:57;1;original reliable
20-4-2022 11:58;1;original reliable
20-4-2022 11:59;1;original reliable
20-4-2022 12:00;1;original reliable
20-4-2022 12:01;1;original reliable
20-4-2022 12:02;1;original reliable
20-4-2022 12:03;1;original reliable
20-4-2022 12:04;1;original reliable
20-4-2022 12:05;1;original reliable
20-4-2022 12:06;1;original reliable
20-4-2022 12:07;1;original reliable
20-4-2022 12:08;1;original reliable
20-4-2022 12:09;1;original reliable
20-4-2022 12:10;1;original reliable
20-4-2022 12:11;1;original reliable
20-4-2022 12:12;1;original reliable
20-4-2022 12:13;1;original reliable
20-4-2022 12:14;1;original reliable
20-4-2022 12:15;1;original reliable
20-4-2022 12:16;1;original reliable
20-4-2022 12:17;1;original reliable
20-4-2022 12:18;1;original reliable
20-4-2022 12:19;1;original reliable
20-4-2022 12:20;1;original reliable
20-4-2022 12:21;1;original reliable
20-4-2022 12:22;1;original reliable
20-4-2022 12:23;1;original reliable
20-4-2022 12:24;1;original reliable
20-4-2022 12:25;1;original reliable
20-4-2022 12:26;1;original reliable
20-4-2022 12:27;1;original reliable
20-4-2022 12:28;1;original reliable
20-4-2022 12:29;1;original reliable
20-4-2022 12:30;1;original reliable
20-4-2022 12:31;1;original reliable
20-4-2022 12:32;1;original reliable
20-4-2022 12:33;1;original reliable
20-4-2022 12:34;1;original reliable
20-4-2022 12:35;1;original reliable
20-4-2022 12:36;1;original reliable
20-4-2022 12:37;1;original reliable
20-4-2022 12:38;1;original reliable
20-4-2022 12:39;1;original reliable
20-4-2022 12:40;1;original reliable
20-4-2022 12:41;1;original reliable
20-4-2022 12:42;1;original reliable
20-4-2022 12:43;1;original reliable
20-4-2022 12:44;1;original reliable
20-4-2022 12:45;1;original reliable
20-4-2022 12:46;1;original reliable
20-4-2022 12:47;1;original reliable
20-4-2022 12:48;1;original reliable
20-4-2022 12:49;1;original reliable
20-4-2022 12:50;1;original reliable
20-4-2022 12:51;1;original reliable
20-4-2022 12:52;1;original reliable
20-4-2022 12:53;1;original reliable
20-4-2022 12:54;1;original reliable
20-4-2022 12:55;1;original reliable
20-4-2022 12:56;1;original reliable
20-4-2022 12:57;1;original reliable
20-4-2022 12:58;1;original reliable
20-4-2022 12:59;1;original reliable
20-4-2022 13:00;1;original reliable
20-4-2022 13:01;1;original reliable
20-4-2022 13:02;1;original reliable
20-4-2022 13:03;1;original reliable
20-4-2022 13:04;1;original reliable
20-4-2022 13:05;1;original reliable
20-4-2022 13:06;1;original reliable
20-4-2022 13:07;1;original reliable
20-4-2022 13:08;1;original reliable
20-4-2022 13:09;1;original reliable
20-4-2022 13:10;1;original reliable
20-4-2022 13:11;1;original reliable
20-4-2022 13:12;1;original reliable
20-4-2022 13:13;1;original reliable
20-4-2022 13:14;1;original reliable
20-4-2022 13:15;1;original reliable
20-4-2022 13:16;1;original reliable
20-4-2022 13:17;1;original reliable
20-4-2022 13:18;1;original reliable
20-4-2022 13:19;1;original reliable
20-4-2022 13:20;1;original reliable
20-4-2022 13:21;1;original reliable
20-4-2022 13:22;1;original reliable
20-4-2022 13:23;1;original reliable
20-4-2022 13:24;1;original reliable
20-4-2022 13:25;1;original reliable
20-4-2022 13:26;1;original reliable
20-4-2022 13:27;1;original reliable
20-4-2022 13:28;1;original reliable
20-4-2022 13:29;1;original reliable
20-4-2022 13:30;1;original reliable
20-4-2022 13:31;1;original reliable
20-4-2022 13:32;1;original reliable
20-4-2022 13:33;1;original reliable
20-4-2022 13:34;1;original reliable
20-4-2022 13:35;1;original reliable
20-4-2022 13:36;1;original reliable
20-4-2022 13:37;1;original reliable
20-4-2022 13:38;1;original reliable
20-4-2022 13:39;1;original reliable
20-4-2022 13:40;1;original reliable
20-4-2022 13:41;1;original reliable
20-4-2022 13:42;1;original reliable
20-4-2022 13:43;1;original reliable
